[INFO]
96	16	128	48
[OBJECTS]
0	96	16	128	18
0	96	18	98	48
0	126	18	128	48

0	98	26	102	34
0	102	30	122	34
0	118	22	122	30
0	106	34	110	42
0	98	42	102	48
0	114	38	118	48
0	118	46	126	48
0	105	46	111	48
0	118	39	122	42
0	106	23	118	26

0	106	22	111	23
0	113	22	115	23
0	117	22	118	23
0	104	23	106	24
0	122	23	124	24
0	102	27	104	28
0	124	27	126	28
0	122	31	124	32
0	124	35	126	36
0	118	38	119	39
0	121	38	122	39
0	104	39	112	40
0	122	39	124	40
0	102	43	104	44
0	112	43	114	44
0	124	43	126	44
0	102	46	103	48
0	113	46	114	48

1	111	22.99	113	23
1	115	22.99	117	23
1	119	38.99	121	39

1	103	47	105	48
1	111	47	113	48

#portal
#area	14
20	98	25	99	26	114	-7	0
#area	13
20	98	41	99	42	113	-7	0	
