[INFO]
64	65	128	79
[OBJECTS]
#brick
0	64	64	128	66
0	64	66	66	74
0	67	66	69	68
0	71	66	73	69
0	75	66	77	68
0	79	66	81	71
0	83	66	85	69
0	87	66	89	68
0	91	66	93	68
0	95	66	97	69
0	99	66	101	68
0	103	66	105	71
0	107	66	109	68
0	111	66	113	68
0	115	66	117	69
0	119	66	121	71
0	125	66	128	74
0	64	74	84	75
0	88	74	96	75
0	100	74	108	75
0	112	74	128	75
0	81	75	82	78
0	89	75	90	78
0	93	75	94	78
0	101	75	102	78
0	105	75	106	78
0	113	75	114	78

1	64	78	128	80


4	69	68
4	71	69
4	73	69
4	75	68
4	77	68
4	79	71
4	81	71
4	83	69
4	85	69
4	87	68
4	89	68
4	91	68
4	93	68
4	95	69
4	97	69
4	99	68
4	101	68
4	103	71
4	105	71
4	107	68
4	109	68
4	111	68
4	113	68
4	115	69
4	117	69
4	119	71
4	121	71


#portal 2
20	125	73	126	74	102	-120.8	0

#enemy1
101	74	67
101 	78	67
101	122	70
101	94	68
101	116	70
#ememy2
102	122	68
102	101	69
102	117	70
#enemy3	
103	78	73	0	-1	-1	0
103	82	67	-1	0	0	1
