[TEXTURES]
0	textures\mario.png	255	255	255	1
201	textures\tiles.png	255	0	255	1
301	textures\BlasterMasterSheet3.png	255	0	255	1
302	textures\BlasterMasterSheet1.png	255	0	255	1
401	textures\Items.png	181	165	213	1
601	textures\BlasterMasterSheet4.png	255	0	255	1
501	textures\map.png	255	255	255	1
1000	textures\boss.png	255	0	255	1
1001	textures\bossclaw.png	255	0	255	1
105	textures\Firework.png	35	35	35	1
[SPRITES]
#---------------Nhan vat-------------------
#-----dung yen---------
11001	121	3	131	20	301
11002	141	3	151	20	301
#-----di---------
11003	108	4	118	20	301
11004	95	4	105	20	301
11005	82	3	92	20	301

11006	154	4	164	20	301
11007	167	4	177	20	301
11008	180	3	190	20	301
#-----bo---------
11009	33	10	49	20	301
11010	49	10	65	20	301

11011	207	10	223	20	301
11012	223	10	239	20	301
#-----chet---------
11017	117	23	131	39	301
11018	98	25	114	39	301
11019	81	23	95	39	301
11020	61	25	77	39	301
11021	43	23	59	39	301

11022	141	23	155	39	301
11023	158	25	174	39	301
11024	177	23	191	39	301
11025	195	25	211	39	301
11026	213	23	229	39	301
#-----leo cau thang---------
11027	67	4	79	20	301
11028	193	4	205	20	301
#---------------Sophia-------------------
#1
11100	109	5 	135	23	302
11101	77	5 	103	23	302
11102	44	5 	70	23	302
11103	13	5 	39	23	302
11104	146	5 	172	23	302
11105	178	5 	204	23	302
11106	211	5 	237	23	302
11107	242	5 	268	23	302
#2
11108	110	187 	135	213	302
11109	80	187 	105	213	302
11110	47	187 	72	213	302
11111	13	187 	38	213	302
11112	146	187 	171	213	302
11113	176	187 	201	213	302
11114	209	187 	234	213	302
11115	243	187 	268	213	302
#3
11116	110	218 	135	246	302
11117	80	218 	105	246	302
11118	47	218 	72	246	302
11119	12	218 	37	246	302
11120	146	218 	171	246	302
11121	176	218 	201	246	302
11122	209	218 	234	246	302
11123	244	218 	269	246	302
#4
11124	110	250 	135	280	302
11125	82	250 	107	280	302
11126	49	250 	74	280	302
11127	14	250 	39	280	302
11128	146	250 	171	280	302
11129	174	250 	199	280	302
11130	207	250 	232	280	302
11131	242	250 	267	280	302
#5
11132	109	283 	135	317	302
11133	79	283 	105	317	302
11134	48	283 	74	317	302
11135	13	283 	39	317	302
11136	146	283 	172	317	302
11137	176	283 	202	317	302
11138	207	283 	233	317	302
11139	242	283 	268	317	302
#xe khong ai dieu khien
11140	105	334 	131	360	302
11142	68	334 	94	360	302
#xe no
11141	148	320 	193	360	302
#-----------------ovh----------------
#TREN
17	88	42	112	74	301
18	164	42	184	74	301
19	77	78	101	109	301
20	171	78	195	109	301
#DITREN
21	114	43	134	74	301
22	62	43	82	74	301
#DIDUOI
23	139	43	159	74	301
24	188	43	208	74	301
#DITRAI
25	107	77	131	109	301
26	49	78	73	109	301
#DIPHAI
27	141	77	163	109	301
28	199	78	223	109	301
29	165	125	189	141	301
#---------------item-------------------
#hp nhan vat
40100	15	3	23	51	401
40101	25	3	33	51	401
40102	36	3	44	51	401
40103	47	3	55	51	401
40104	58	3	66	51	401
40105	68	3	76	51	401
40106	78	3	86	51	401
40107	88	3	96	51	401
40108	99	3	107	51	401

#item HP
40201	87	240	103	256	401

#brick2
40301	3	201	19	217	401

#brick21
50001	4656	3904	4672	3920	501
#---------------Bullet-------------------

#bullet
30001	151	177	166	193	401
30002	171	176	187	191	401
30003	192	177	208	193	401
#bullet1
30101	135	183 	139	187	401
#bullet2
30201	106	203	128	209	401
30202	157	203	179	209	401
30203	141	192	147	214	401
#bullet21
302101	133	26	147	32	401
302102	134	16	148	22	401
302103	111	17	117	31	401
302104	122	19	128	33	401
#enemybulletmap2
310001	214	1159	222	1167	601
#---------------Enemy-------------------
#enemy1
20101	64	412	82	422	601
20102	46	412	63	422	601
					
20103	172	412	190	422	601
20104	191	412	208	422	601

#enemy2
20301	104	406 	122	422	601
20302	84	407 	102	422	601

20303	132	406 	150	422	601
20304	152	407 	170	422	601

#enemy3
20201	87	425 	105	441	601
20202	67	424 	85	441	601

20203	51	441 	67	459	601
20204	50	461 	67	479	601

20205	67	479 	85	495	601
20206	87	479 	105	496	601

20207	105	461 	121	479	601
20208	105	441 	122	459	601

20209	169	424 	187	441	601
20210	149	425 	167	441	601

20211	132	441 	149	459	601
20212	133	461 	149	479	601

20213	149	479 	167	496	601
20214	169	479 	187	495	601

20215	169	479 	187	495	601
